file_name, maze_dim, upper_benchmark, lower_benchmark, score
./generated_mazes/18/maze_00_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 20.433
./generated_mazes/18/maze_01_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 21.233
./generated_mazes/18/maze_02_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 20.800
./generated_mazes/18/maze_03_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 12.567
./generated_mazes/18/maze_04_ub-36.6_lb-25.8.txt, 18, 36.6, 25.8, 26.167
./generated_mazes/18/maze_05_ub-36.6_lb-25.8.txt, 18, 36.6, 25.8, 25.833
./generated_mazes/18/maze_06_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 21.067
./generated_mazes/18/maze_07_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 15.867
./generated_mazes/18/maze_08_ub-29.6_lb-18.8.txt, 18, 29.6, 18.8, 11.567
./generated_mazes/18/maze_09_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 19.800
./generated_mazes/18/maze_10_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 20.167
./generated_mazes/18/maze_11_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 13.500
./generated_mazes/18/maze_12_ub-36.6_lb-25.8.txt, 18, 36.6, 25.8, 27.033
./generated_mazes/18/maze_13_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 19.633
./generated_mazes/18/maze_14_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 19.333
./generated_mazes/18/maze_15_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 14.867
./generated_mazes/18/maze_16_ub-28.6_lb-17.8.txt, 18, 28.6, 17.8, 9.367
./generated_mazes/18/maze_17_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 14.800
./generated_mazes/18/maze_18_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 17.333
./generated_mazes/18/maze_19_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 17.833
./generated_mazes/18/maze_20_ub-36.6_lb-25.8.txt, 18, 36.6, 25.8, 24.100
./generated_mazes/18/maze_21_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 1033.33333333
./generated_mazes/18/maze_22_ub-29.6_lb-18.8.txt, 18, 29.6, 18.8, 15.200
./generated_mazes/18/maze_23_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 22.833
./generated_mazes/18/maze_24_ub-29.6_lb-18.8.txt, 18, 29.6, 18.8, 10.267
./generated_mazes/18/maze_25_ub-38.6_lb-27.8.txt, 18, 38.6, 27.8, 25.633
./generated_mazes/18/maze_26_ub-37.6_lb-26.8.txt, 18, 37.6, 26.8, 23.867
./generated_mazes/18/maze_27_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 24.233
